# z cos(z) sin(z) qspline qsplineInteg qsplineDeriv -sin(z)
5.22 0.486091 -0.873908 0.459371 -0.877859 0.839014 0.873908
5.24 0.503471 -0.864012 0.476225 -0.868503 0.846348 0.864012
5.26 0.520649 -0.853771 0.493225 -0.858809 0.853682 0.853771
5.28 0.537619 -0.843188 0.510372 -0.848773 0.861016 0.843188
5.3 0.554374 -0.832267 0.527666 -0.838393 0.86835 0.832267
5.32 0.570908 -0.821014 0.545106 -0.827666 0.875684 0.821014
5.34 0.587213 -0.809433 0.562693 -0.816588 0.883018 0.809433
5.36 0.603283 -0.797527 0.580427 -0.805157 0.890352 0.797527
5.38 0.619112 -0.785303 0.598307 -0.79337 0.897686 0.785303
5.4 0.634693 -0.772764 0.616334 -0.781224 0.90502 0.772764
5.42 0.65002 -0.759917 0.634508 -0.768716 0.912354 0.759917
5.44 0.665088 -0.746765 0.652828 -0.755843 0.919688 0.746765
5.46 0.679889 -0.733315 0.671296 -0.742602 0.927022 0.733315
5.48 0.694418 -0.719572 0.689909 -0.72899 0.934356 0.719572
5.5 0.70867 -0.70554 0.70867 -0.715004 0.94169 0.70554
5.52 0.722638 -0.691227 0.727153 -0.700645 0.906595 0.691227
5.54 0.736317 -0.676637 0.744934 -0.685923 0.871499 0.676637
5.56 0.749702 -0.661776 0.762013 -0.670852 0.836404 0.661776
5.58 0.762786 -0.646651 0.77839 -0.655447 0.801309 0.646651
5.6 0.775566 -0.631267 0.794065 -0.639721 0.766214 0.631267
5.62 0.788035 -0.61563 0.809038 -0.623689 0.731119 0.61563
5.64 0.800189 -0.599747 0.82331 -0.607364 0.696024 0.599747
5.66 0.812024 -0.583625 0.836879 -0.590761 0.660929 0.583625
5.68 0.823533 -0.567269 0.849747 -0.573894 0.625834 0.567269
5.7 0.834713 -0.550686 0.861913 -0.556776 0.590739 0.550686
5.72 0.845559 -0.533882 0.873376 -0.539422 0.555644 0.533882
5.74 0.856067 -0.516865 0.884138 -0.521846 0.520549 0.516865
5.76 0.866232 -0.499642 0.894198 -0.504061 0.485453 0.499642
5.78 0.876051 -0.482218 0.903556 -0.486082 0.450358 0.482218
5.8 0.88552 -0.464602 0.912213 -0.467924 0.415263 0.464602
5.82 0.894634 -0.4468 0.920167 -0.449599 0.380168 0.4468
5.84 0.90339 -0.428819 0.927419 -0.431122 0.345073 0.428819
5.86 0.911785 -0.410667 0.93397 -0.412507 0.309978 0.410667
5.88 0.919816 -0.39235 0.939819 -0.393767 0.274883 0.39235
5.9 0.927478 -0.373877 0.944965 -0.374918 0.239788 0.373877
5.92 0.93477 -0.355254 0.94941 -0.355974 0.204693 0.355254
5.94 0.941688 -0.336488 0.953153 -0.336947 0.169598 0.336488
5.96 0.948229 -0.317589 0.956194 -0.317852 0.134503 0.317589
5.98 0.95439 -0.298562 0.958533 -0.298704 0.0994075 0.298562
6 0.96017 -0.279415 0.96017 -0.279515 0.0643124 0.279415
6.02 0.965566 -0.260157 0.961431 -0.260299 0.0617942 0.260157
6.04 0.970576 -0.240795 0.962642 -0.241059 0.059276 0.240795
6.06 0.975197 -0.221337 0.963802 -0.221794 0.0567578 0.221337
6.08 0.979429 -0.20179 0.964912 -0.202507 0.0542395 0.20179
6.1 0.983268 -0.182163 0.965972 -0.183198 0.0517213 0.182163
6.12 0.986715 -0.162462 0.966981 -0.163868 0.0492031 0.162462
6.14 0.989766 -0.142697 0.96794 -0.144519 0.0466849 0.142697
6.16 0.992422 -0.122874 0.968849 -0.125151 0.0441667 0.122874
6.18 0.994681 -0.103002 0.969707 -0.105765 0.0416484 0.103002
6.2 0.996542 -0.0830894 0.970515 -0.0863631 0.0391302 0.0830894
6.22 0.998004 -0.0631433 0.971272 -0.0669451 0.036612 0.0631433
6.24 0.999068 -0.0431719 0.971979 -0.0475125 0.0340938 0.0431719
6.26 0.999731 -0.0231832 0.972636 -0.0280663 0.0315756 0.0231832
6.28 0.999995 -0.0031853 0.973242 -0.00860742 0.0290573 0.0031853
6.3 0.999859 0.0168139 0.973798 0.0108631 0.0265391 -0.0168139
6.32 0.999322 0.0368064 0.974304 0.0303442 0.0240209 -0.0368064
6.34 0.998386 0.0567841 0.974759 0.0498349 0.0215027 -0.0567841
6.36 0.997051 0.0767392 0.975164 0.0693342 0.0189845 -0.0767392
6.38 0.995317 0.0966635 0.975518 0.0888411 0.0164663 -0.0966635
6.4 0.993185 0.116549 0.975822 0.108355 0.013948 -0.116549
6.42 0.990655 0.136388 0.976076 0.127874 0.0114298 -0.136388
6.44 0.98773 0.156173 0.97628 0.147397 0.0089116 -0.156173
6.46 0.984409 0.175895 0.976433 0.166924 0.00639338 -0.175895
6.48 0.980694 0.195547 0.976535 0.186454 0.00387516 -0.195547
6.5 0.976588 0.21512 0.976588 0.205986 0.00135694 -0.21512
6.52 0.97209 0.234607 0.976257 0.225515 -0.0343813 -0.234607
6.54 0.967204 0.254001 0.975212 0.245031 -0.0701195 -0.254001
6.56 0.961931 0.273293 0.973453 0.264519 -0.105858 -0.273293
6.58 0.956273 0.292476 0.970978 0.283964 -0.141596 -0.292476
6.6 0.950233 0.311541 0.967789 0.303353 -0.177334 -0.311541
6.62 0.943812 0.330482 0.963885 0.322671 -0.213072 -0.330482
6.64 0.937014 0.349291 0.959266 0.341904 -0.248811 -0.349291
6.66 0.929841 0.367961 0.953932 0.361037 -0.284549 -0.367961
6.68 0.922297 0.386483 0.947884 0.380056 -0.320287 -0.386483
6.7 0.914383 0.40485 0.941121 0.398948 -0.356025 -0.40485
6.72 0.906104 0.423055 0.933643 0.417697 -0.391763 -0.423055
6.74 0.897462 0.441092 0.92545 0.436289 -0.427502 -0.441092
6.76 0.888461 0.458951 0.916543 0.45471 -0.46324 -0.458951
6.78 0.879105 0.476628 0.906921 0.472946 -0.498978 -0.476628
6.8 0.869397 0.494113 0.896584 0.490982 -0.534716 -0.494113
6.82 0.859342 0.511401 0.885532 0.508804 -0.570454 -0.511401
6.84 0.848943 0.528485 0.873766 0.526398 -0.606193 -0.528485
6.86 0.838204 0.545357 0.861284 0.54375 -0.641931 -0.545357
6.88 0.82713 0.562011 0.848088 0.560845 -0.677669 -0.562011
6.9 0.815725 0.57844 0.834178 0.577669 -0.713407 -0.57844
6.92 0.803994 0.594637 0.819552 0.594207 -0.749146 -0.594637
6.94 0.791941 0.610597 0.804212 0.610446 -0.784884 -0.610597
6.96 0.779572 0.626313 0.788157 0.626371 -0.820622 -0.626313
6.98 0.76689 0.641778 0.771387 0.641968 -0.85636 -0.641778
7 0.753902 0.656987 0.753902 0.657222 -0.892098 -0.656987
7.02 0.740613 0.671932 0.736122 0.672122 -0.885893 -0.671932
7.04 0.727027 0.686609 0.718467 0.686667 -0.879688 -0.686609
7.06 0.71315 0.701011 0.700935 0.700861 -0.873483 -0.701011
7.08 0.698988 0.715133 0.683527 0.714706 -0.867278 -0.715133
7.1 0.684547 0.728969 0.666244 0.728203 -0.861073 -0.728969
7.12 0.669831 0.742513 0.649084 0.741356 -0.854867 -0.742513
7.14 0.654848 0.755761 0.632049 0.754167 -0.848662 -0.755761
7.16 0.639603 0.768705 0.615138 0.766639 -0.842457 -0.768705
7.18 0.624102 0.781343 0.598351 0.778774 -0.836252 -0.781343
7.2 0.608351 0.793668 0.581688 0.790574 -0.830047 -0.793668
7.22 0.592357 0.805675 0.565149 0.802042 -0.823842 -0.805675
7.24 0.576126 0.817361 0.548734 0.813181 -0.817636 -0.817361
7.26 0.559665 0.828719 0.532443 0.823992 -0.811431 -0.828719
7.28 0.54298 0.839746 0.516277 0.834479 -0.805226 -0.839746
7.3 0.526078 0.850437 0.500234 0.844644 -0.799021 -0.850437
7.32 0.508965 0.860787 0.484316 0.854489 -0.792816 -0.860787
7.34 0.491648 0.870794 0.468522 0.864018 -0.786611 -0.870794
7.36 0.474135 0.880452 0.452852 0.873231 -0.780405 -0.880452
7.38 0.456433 0.889758 0.437305 0.882132 -0.7742 -0.889758
7.4 0.438547 0.898708 0.421884 0.890724 -0.767995 -0.898708
7.42 0.420487 0.907299 0.406586 0.899009 -0.76179 -0.907299
7.44 0.402258 0.915526 0.391412 0.906988 -0.755585 -0.915526
