# z cos(z) sin(z) linterp linterpInteg
6.22 0.998004 -0.0631433 0.967394 -0.0615379
6.24 0.999068 -0.0431719 0.968051 -0.0421834
6.26 0.999731 -0.0231832 0.968707 -0.0228159
6.28 0.999995 -0.0031853 0.969364 -0.00343514
6.3 0.999859 0.0168139 0.970021 0.0159587
6.32 0.999322 0.0368064 0.970677 0.0353657
6.34 0.998386 0.0567841 0.971334 0.0547858
6.36 0.997051 0.0767392 0.971991 0.074219
6.38 0.995317 0.0966635 0.972647 0.0936654
6.4 0.993185 0.116549 0.973304 0.113125
6.42 0.990655 0.136388 0.973961 0.132598
6.44 0.98773 0.156173 0.974618 0.152083
6.46 0.984409 0.175895 0.975274 0.171582
6.48 0.980694 0.195547 0.975931 0.191094
6.5 0.976588 0.21512 0.976588 0.21062
6.52 0.97209 0.234607 0.96768 0.230062
6.54 0.967204 0.254001 0.958773 0.249327
6.56 0.961931 0.273293 0.949865 0.268413
6.58 0.956273 0.292476 0.940958 0.287321
6.6 0.950233 0.311541 0.932051 0.306051
6.62 0.943812 0.330482 0.923143 0.324603
6.64 0.937014 0.349291 0.914236 0.342977
6.66 0.929841 0.367961 0.905328 0.361173
6.68 0.922297 0.386483 0.896421 0.37919
6.7 0.914383 0.40485 0.887513 0.39703
6.72 0.906104 0.423055 0.878606 0.414691
6.74 0.897462 0.441092 0.869699 0.432174
6.76 0.888461 0.458951 0.860791 0.449479
6.78 0.879105 0.476628 0.851884 0.466606
6.8 0.869397 0.494113 0.842976 0.483554
6.82 0.859342 0.511401 0.834069 0.500325
6.84 0.848943 0.528485 0.825162 0.516917
6.86 0.838204 0.545357 0.816254 0.533331
6.88 0.82713 0.562011 0.807347 0.549567
6.9 0.815725 0.57844 0.798439 0.565625
6.92 0.803994 0.594637 0.789532 0.581505
6.94 0.791941 0.610597 0.780624 0.597206
6.96 0.779572 0.626313 0.771717 0.61273
6.98 0.76689 0.641778 0.76281 0.628075
7 0.753902 0.656987 0.753902 0.643242
7.02 0.740613 0.671932 0.737612 0.658157
7.04 0.727027 0.686609 0.721321 0.672746
7.06 0.71315 0.701011 0.70503 0.68701
7.08 0.698988 0.715133 0.68874 0.700948
7.1 0.684547 0.728969 0.672449 0.71456
7.12 0.669831 0.742513 0.656158 0.727846
7.14 0.654848 0.755761 0.639868 0.740806
7.16 0.639603 0.768705 0.623577 0.75344
7.18 0.624102 0.781343 0.607286 0.765749
7.2 0.608351 0.793668 0.590995 0.777732
7.22 0.592357 0.805675 0.574705 0.789389
7.24 0.576126 0.817361 0.558414 0.80072
7.26 0.559665 0.828719 0.542123 0.811725
7.28 0.54298 0.839746 0.525833 0.822405
7.3 0.526078 0.850437 0.509542 0.832759
7.32 0.508965 0.860787 0.493251 0.842787
7.34 0.491648 0.870794 0.476961 0.852489
7.36 0.474135 0.880452 0.46067 0.861865
7.38 0.456433 0.889758 0.444379 0.870916
7.4 0.438547 0.898708 0.428089 0.87964
7.42 0.420487 0.907299 0.411798 0.888039
7.44 0.402258 0.915526 0.395507 0.896112
7.46 0.383868 0.923388 0.379217 0.903859
7.48 0.365325 0.93088 0.362926 0.911281
7.5 0.346635 0.938 0.346635 0.918376
7.52 0.327807 0.944745 0.32695 0.925112
7.54 0.308848 0.951111 0.307264 0.931454
7.56 0.289765 0.957098 0.287579 0.937403
7.58 0.270567 0.962701 0.267894 0.942958
7.6 0.25126 0.96792 0.248208 0.948119
7.62 0.231852 0.972751 0.228523 0.952886
7.64 0.212352 0.977193 0.208837 0.957259
7.66 0.192767 0.981244 0.189152 0.961239
7.68 0.173105 0.984903 0.169467 0.964826
7.7 0.153374 0.988168 0.149781 0.968018
7.72 0.133581 0.991038 0.130096 0.970817
7.74 0.113735 0.993511 0.11041 0.973222
7.76 0.0938433 0.995587 0.0907249 0.975233
7.78 0.0739142 0.997265 0.0710395 0.976851
7.8 0.0539554 0.998543 0.0513541 0.978075
7.82 0.0339751 0.999423 0.0316687 0.978905
7.84 0.0139812 0.999902 0.0119833 0.979342
7.86 -0.00601833 0.999982 -0.00770214 0.979384
7.88 -0.0260154 0.999662 -0.0273875 0.979033
7.9 -0.0460021 0.998941 -0.047073 0.978289
7.92 -0.0659704 0.997822 -0.0667584 0.977151
7.94 -0.0859123 0.996303 -0.0864438 0.975619
7.96 -0.10582 0.994385 -0.106129 0.973693
7.98 -0.125685 0.99207 -0.125815 0.971373
8 -0.1455 0.989358 -0.1455 0.96866
8.02 -0.165257 0.986251 -0.163761 0.965568
8.04 -0.184947 0.982748 -0.182021 0.96211
8.06 -0.204564 0.978853 -0.200281 0.958287
8.08 -0.224099 0.974566 -0.218542 0.954099
8.1 -0.243544 0.96989 -0.236802 0.949545
8.12 -0.262892 0.964825 -0.255063 0.944626
8.14 -0.282135 0.959375 -0.273323 0.939343
8.16 -0.301264 0.953541 -0.291584 0.933694
8.18 -0.320274 0.947325 -0.309844 0.927679
8.2 -0.339155 0.940731 -0.328105 0.9213
8.22 -0.3579 0.93376 -0.346365 0.914555
8.24 -0.376503 0.926415 -0.364626 0.907445
8.26 -0.394955 0.918701 -0.382886 0.89997
8.28 -0.413248 0.910618 -0.401147 0.89213
8.3 -0.431377 0.902172 -0.419407 0.883924
8.32 -0.449333 0.893364 -0.437668 0.875353
8.34 -0.467109 0.8842 -0.455928 0.866417
8.36 -0.484698 0.874681 -0.474189 0.857116
8.38 -0.502094 0.864813 -0.492449 0.84745
8.4 -0.519289 0.854599 -0.51071 0.837418
8.42 -0.536276 0.844043 -0.52897 0.827022
8.44 -0.553048 0.833149 -0.54723 0.81626
8.46 -0.569599 0.821922 -0.565491 0.805132
8.48 -0.585923 0.810367 -0.583751 0.79364
8.5 -0.602012 0.798487 -0.602012 0.781782
8.52 -0.61786 0.786288 -0.614377 0.769618
8.54 -0.633461 0.773774 -0.626741 0.757207
8.56 -0.648809 0.760951 -0.639106 0.744549
8.58 -0.663897 0.747824 -0.651471 0.731643
8.6 -0.67872 0.734397 -0.663836 0.71849
8.62 -0.693271 0.720677 -0.6762 0.70509
8.64 -0.707545 0.706668 -0.688565 0.691442
8.66 -0.721536 0.692377 -0.70093 0.677547
8.68 -0.735238 0.677809 -0.713295 0.663405
8.7 -0.748647 0.662969 -0.725659 0.649015
8.72 -0.761755 0.647865 -0.738024 0.634378
8.74 -0.77456 0.632501 -0.750389 0.619494
8.76 -0.787054 0.616884 -0.762753 0.604363
8.78 -0.799233 0.601021 -0.775118 0.588984
8.8 -0.811093 0.584917 -0.787483 0.573358
8.82 -0.822628 0.568579 -0.799848 0.557485
8.84 -0.833835 0.552014 -0.812212 0.541364
8.86 -0.844707 0.535228 -0.824577 0.524996
8.88 -0.855242 0.518228 -0.836942 0.508381
8.9 -0.865435 0.501021 -0.849307 0.491519
8.92 -0.875282 0.483613 -0.861671 0.474409
8.94 -0.884778 0.466012 -0.874036 0.457052
8.96 -0.893921 0.448224 -0.886401 0.439447
8.98 -0.902706 0.430257 -0.898766 0.421596
9 -0.91113 0.412118 -0.91113 0.403497
